Column   epoch: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]

Column     train/box_loss: [2.1444, 1.831, 1.7253, 1.7108, 1.7447, 1.5748, 1.5003, 1.4356, 1.4148, 1.4105, 1.3653, 1.2772, 1.1733, 1.1785, 1.1545, 1.1574, 1.1218, 1.0817, 0.97708, 0.98157]

Column     train/cls_loss: [2.7301, 1.3859, 1.2452, 1.4995, 1.1566, 1.0987, 0.98752, 0.89827, 0.85311, 0.80356, 0.71959, 0.66043, 0.63481, 0.59041, 0.62087, 0.55708, 0.56635, 0.53451, 0.48551, 0.47031]

Column     train/dfl_loss: [1.7782, 1.5634, 1.5031, 1.534, 1.4598, 1.442, 1.4036, 1.3458, 1.3169, 1.3312, 1.4752, 1.3367, 1.2699, 1.2956, 1.2942, 1.2867, 1.2692, 1.2245, 1.1607, 1.1647]

Column    metrics/precision(B): [0.00357, 0.05815, 0.02066, 0.70054, 0.92395, 0.96998, 0.92901, 0.90966, 0.97618, 0.98394, 0.93717, 0.93003, 0.99805, 0.94852, 0.94891, 0.99928, 0.98596, 0.98744, 0.95234, 0.99914]

Column  metrics/recall(B): [0.38554, 0.15663, 0.14458, 0.6201, 0.87831, 0.81928, 0.78835, 0.98795, 0.98755, 0.90361, 0.49398, 0.93976, 0.98795, 0.98795, 0.93976, 0.98795, 0.98795, 0.9759, 0.98795, 0.98795]

Column   metrics/mAP50(B): [0.00281, 0.03353, 0.0068, 0.72021, 0.93925, 0.91764, 0.86668, 0.97996, 0.98565, 0.93779, 0.61032, 0.97584, 0.98776, 0.98989, 0.96985, 0.98954, 0.99045, 0.98488, 0.98769, 0.99283]

Column     metrics/mAP50-95(B): [0.00139, 0.01238, 0.00346, 0.35332, 0.45106, 0.52859, 0.49867, 0.53511, 0.56778, 0.58589, 0.3653, 0.61819, 0.66746, 0.67651, 0.6506, 0.69357, 0.6936, 0.67293, 0.69873, 0.72876]

Column  val/box_loss: [1.6731, 1.953, 1.3046, 1.6339, 1.5399, 1.231, 1.1992, 1.4547, 1.2089, 1.2544, 1.1498, 1.1364, 1.1237, 1.0119, 1.0811, 1.0466, 1.0663, 1.0422, 1.0077, 0.94309]

Column  val/cls_loss: [3961.8, 67.817, 343.7, 11.497, 1.4944, 1.2996, 1.5018, 0.89664, 0.98906, 0.97077, 1.1584, 0.74708, 0.52457, 0.52224, 0.59297, 0.47023, 0.66938, 0.47003, 0.47833, 0.41362]

Column  val/dfl_loss: [1.6266, 1.8159, 1.408, 1.5632, 1.4629, 1.3024, 1.2364, 1.5102, 1.2795, 1.2559, 1.2045, 1.1714, 1.2442, 1.1138, 1.1377, 1.1767, 1.1528, 1.1954, 1.1537, 1.1319]

Column  lr/pg0: [0.00065556, 0.0012568, 0.001792, 0.001703, 0.001703, 0.001604, 0.001505, 0.001406, 0.001307, 0.001208, 0.001109, 0.00101, 0.000911, 0.000812, 0.000713, 0.000614, 0.000515, 0.000416, 0.000317, 0.000218]

Column  lr/pg1: [0.00065556, 0.0012568, 0.001792, 0.001703, 0.001703, 0.001604, 0.001505, 0.001406, 0.001307, 0.001208, 0.001109, 0.00101, 0.000911, 0.000812, 0.000713, 0.000614, 0.000515, 0.000416, 0.000317, 0.000218]

Column  lr/pg2: [0.00065556, 0.0012568, 0.001792, 0.001703, 0.001703, 0.001604, 0.001505, 0.001406, 0.001307, 0.001208, 0.001109, 0.00101, 0.000911, 0.000812, 0.000713, 0.000614, 0.000515, 0.000416, 0.000317, 0.000218]

