epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3309,1.8653,1.56204,1.66136,0.57799,0.79438,0.69628,0.37011,0.95582,26.4827,1.15473,0.000663537,0.000663537,0.000663537
2,71.76,1.67839,1.10993,1.58255,0.32481,0.39,0.30306,0.13051,1.16675,4.21173,1.47529,0.00131374,0.00131374,0.00131374
3,104.418,1.62646,1.03843,1.56373,0.65302,0.65,0.66128,0.27293,1.26042,7.40475,1.46379,0.00194745,0.00194745,0.00194745
4,136.028,1.56686,0.9288,1.52306,0.41116,0.98,0.41979,0.17248,1.17471,26.0311,1.32359,0.00192575,0.00192575,0.00192575
5,167.07,1.52997,0.88128,1.49492,0.54889,0.91259,0.79758,0.27276,1.20507,26.3302,1.38973,0.001901,0.001901,0.001901
6,198.381,1.48582,0.83743,1.48346,0.76308,0.73,0.8508,0.31564,1.14169,10.5179,1.32008,0.00187625,0.00187625,0.00187625
7,230.798,1.3956,0.77418,1.44016,0.63048,0.65,0.65858,0.24396,1.13988,4.85796,1.37186,0.0018515,0.0018515,0.0018515
8,262.206,1.38521,0.76362,1.42844,0.67899,0.66,0.74598,0.29985,1.11581,9.96276,1.41207,0.00182675,0.00182675,0.00182675
9,293.39,1.33731,0.726,1.38913,0.52265,0.85,0.63934,0.28572,1.08682,8.37241,1.27834,0.001802,0.001802,0.001802
10,324.624,1.3488,0.71109,1.39274,0.47772,1,0.60215,0.21137,1.28447,18.2267,1.38284,0.00177725,0.00177725,0.00177725
11,356.829,1.30655,0.68428,1.36961,0.44063,1,0.51823,0.24977,1.04657,20.6333,1.32962,0.0017525,0.0017525,0.0017525
12,388.18,1.29717,0.66596,1.36519,0.44486,1,0.72963,0.33074,1.15111,18.992,1.2996,0.00172775,0.00172775,0.00172775
13,419.348,1.26874,0.6433,1.35331,0.5492,1,0.7077,0.36273,1.0098,21.4149,1.31714,0.001703,0.001703,0.001703
14,452.223,1.26636,0.66723,1.34957,0.46489,0.81,0.50443,0.22007,1.12091,13.5523,1.42246,0.00167825,0.00167825,0.00167825
15,484.14,1.20175,0.60959,1.30806,0.59554,0.6,0.68096,0.255,1.09474,2.64273,1.33726,0.0016535,0.0016535,0.0016535
16,515.225,1.21177,0.60527,1.31875,0.74825,0.62419,0.78894,0.32957,1.16587,4.05325,1.33963,0.00162875,0.00162875,0.00162875
